,Organisation Description,quarter,Calendar Quarter Name,Table Value,Calendar quarter first month name,Calendar quarter last month name,year
0,Albury - Adult AMHS,2,Apr - Jun 2020,2330.6,Apr,Jun,2020
1,Albury - Adult AMHS,3,Jul - Sep 2020,3606.92,Jul,Sep,2020
2,Albury - Adult AMHS,4,Oct - Dec 2020,3004.98,Oct,Dec,2020
3,Albury - Adult AMHS,1,Jan - Mar 2021,3053.93,Jan,Mar,2021
4,Albury - Aged AMHS,2,Apr - Jun 2020,548.33,Apr,Jun,2020
5,Albury - Aged AMHS,3,Jul - Sep 2020,734.92,Jul,Sep,2020
6,Albury - Aged AMHS,4,Oct - Dec 2020,792.58,Oct,Dec,2020
7,Albury - Aged AMHS,1,Jan - Mar 2021,802.9,Jan,Mar,2021
8,Albury - CAMHS AMHS,2,Apr - Jun 2020,358.47,Apr,Jun,2020
9,Albury - CAMHS AMHS,3,Jul - Sep 2020,543.2,Jul,Sep,2020
10,Albury - CAMHS AMHS,4,Oct - Dec 2020,688.93,Oct,Dec,2020
11,Albury - CAMHS AMHS,1,Jan - Mar 2021,663.42,Jan,Mar,2021
12,Barwon - AMHS,2,Apr - Jun 2020,14673.4,Apr,Jun,2020
13,Barwon - AMHS,3,Jul - Sep 2020,19131.29,Jul,Sep,2020
14,Barwon - AMHS,4,Oct - Dec 2020,15927.4,Oct,Dec,2020
15,Barwon - AMHS,1,Jan - Mar 2021,10109.34,Jan,Mar,2021
16,Barwon - AMHS,2,Apr - Jun 2021,9663.38,Apr,Jun,2021
17,Central & Outer East - Aged AMHS,2,Apr - Jun 2020,3162.65,Apr,Jun,2020
18,Central & Outer East - Aged AMHS,3,Jul - Sep 2020,2775.54,Jul,Sep,2020
19,Central & Outer East - Aged AMHS,4,Oct - Dec 2020,1940.59,Oct,Dec,2020
20,Central & Outer East - Aged AMHS,1,Jan - Mar 2021,1039.56,Jan,Mar,2021
21,Central & Outer East - Aged AMHS,2,Apr - Jun 2021,1066.6,Apr,Jun,2021
22,Central East - Adult AMHS,2,Apr - Jun 2020,10652.07,Apr,Jun,2020
23,Central East - Adult AMHS,3,Jul - Sep 2020,11593.78,Jul,Sep,2020
24,Central East - Adult AMHS,4,Oct - Dec 2020,10615.36,Oct,Dec,2020
25,Central East - Adult AMHS,1,Jan - Mar 2021,9508.55,Jan,Mar,2021
26,Central East - Adult AMHS,2,Apr - Jun 2021,8959.66,Apr,Jun,2021
27,Dandenong - Adult AMHS,2,Apr - Jun 2020,24284.87,Apr,Jun,2020
28,Dandenong - Adult AMHS,3,Jul - Sep 2020,26824.07,Jul,Sep,2020
29,Dandenong - Adult AMHS,4,Oct - Dec 2020,25532.85,Oct,Dec,2020
30,Dandenong - Adult AMHS,1,Jan - Mar 2021,23960.97,Jan,Mar,2021
31,Dandenong - Adult AMHS,2,Apr - Jun 2021,25009.3,Apr,Jun,2021
32,Eastern - CAMHS AMHS,2,Apr - Jun 2020,10861.48,Apr,Jun,2020
33,Eastern - CAMHS AMHS,3,Jul - Sep 2020,11080.03,Jul,Sep,2020
34,Eastern - CAMHS AMHS,4,Oct - Dec 2020,9411.02,Oct,Dec,2020
35,Eastern - CAMHS AMHS,1,Jan - Mar 2021,8676.98,Jan,Mar,2021
36,Eastern - CAMHS AMHS,2,Apr - Jun 2021,9451.09,Apr,Jun,2021
37,Gippsland - AMHS,2,Apr - Jun 2020,16105.94,Apr,Jun,2020
38,Gippsland - AMHS,3,Jul - Sep 2020,17270.05,Jul,Sep,2020
39,Gippsland - AMHS,4,Oct - Dec 2020,14934.16,Oct,Dec,2020
40,Gippsland - AMHS,1,Jan - Mar 2021,10687.84,Jan,Mar,2021
41,Gippsland - AMHS,2,Apr - Jun 2021,11156.25,Apr,Jun,2021
42,Glenelg - AMHS,2,Apr - Jun 2020,8990.71,Apr,Jun,2020
43,Glenelg - AMHS,3,Jul - Sep 2020,9405.49,Jul,Sep,2020
44,Glenelg - AMHS,4,Oct - Dec 2020,8440.56,Oct,Dec,2020
45,Glenelg - AMHS,1,Jan - Mar 2021,7516.57,Jan,Mar,2021
46,Glenelg - AMHS,2,Apr - Jun 2021,8038.4,Apr,Jun,2021
47,Goulburn - AMHS,2,Apr - Jun 2020,11214.77,Apr,Jun,2020
48,Goulburn - AMHS,3,Jul - Sep 2020,11191.09,Jul,Sep,2020
49,Goulburn - AMHS,4,Oct - Dec 2020,7318.69,Oct,Dec,2020
50,Goulburn - AMHS,1,Jan - Mar 2021,4023.72,Jan,Mar,2021
51,Goulburn - AMHS,2,Apr - Jun 2021,3201.04,Apr,Jun,2021
52,Grampians - AMHS,2,Apr - Jun 2020,13565.8,Apr,Jun,2020
53,Grampians - AMHS,3,Jul - Sep 2020,15475.79,Jul,Sep,2020
54,Grampians - AMHS,4,Oct - Dec 2020,13460.91,Oct,Dec,2020
55,Grampians - AMHS,1,Jan - Mar 2021,10364.58,Jan,Mar,2021
56,Grampians - AMHS,2,Apr - Jun 2021,8127.53,Apr,Jun,2021
57,Inner & North West - Aged AMHS,2,Apr - Jun 2020,2133.46,Apr,Jun,2020
58,Inner & North West - Aged AMHS,3,Jul - Sep 2020,2143.23,Jul,Sep,2020
59,Inner & North West - Aged AMHS,4,Oct - Dec 2020,1436.38,Oct,Dec,2020
60,Inner & North West - Aged AMHS,1,Jan - Mar 2021,983.7,Jan,Mar,2021
61,Inner & North West - Aged AMHS,2,Apr - Jun 2021,779.45,Apr,Jun,2021
62,Inner South East - Adult AMHS,2,Apr - Jun 2020,15430.23,Apr,Jun,2020
63,Inner South East - Adult AMHS,3,Jul - Sep 2020,16835.14,Jul,Sep,2020
64,Inner South East - Adult AMHS,4,Oct - Dec 2020,15724.24,Oct,Dec,2020
65,Inner South East - Adult AMHS,1,Jan - Mar 2021,13603.33,Jan,Mar,2021
66,Inner South East - Adult AMHS,2,Apr - Jun 2021,13942.92,Apr,Jun,2021
67,Inner South East - Aged AMHS,2,Apr - Jun 2020,1293.61,Apr,Jun,2020
68,Inner South East - Aged AMHS,3,Jul - Sep 2020,1366.45,Jul,Sep,2020
69,Inner South East - Aged AMHS,4,Oct - Dec 2020,1395.83,Oct,Dec,2020
70,Inner South East - Aged AMHS,1,Jan - Mar 2021,1357.96,Jan,Mar,2021
71,Inner South East - Aged AMHS,2,Apr - Jun 2021,1491.62,Apr,Jun,2021
72,Inner Urban East - Adult AMHS,2,Apr - Jun 2020,14223.14,Apr,Jun,2020
73,Inner Urban East - Adult AMHS,3,Jul - Sep 2020,16089.76,Jul,Sep,2020
74,Inner Urban East - Adult AMHS,4,Oct - Dec 2020,13202.75,Oct,Dec,2020
75,Inner Urban East - Adult AMHS,1,Jan - Mar 2021,9614.94,Jan,Mar,2021
76,Inner Urban East - Adult AMHS,2,Apr - Jun 2021,8676.4,Apr,Jun,2021
77,Inner Urban East - Aged AMHS,2,Apr - Jun 2020,2021.86,Apr,Jun,2020
78,Inner Urban East - Aged AMHS,3,Jul - Sep 2020,2135.04,Jul,Sep,2020
79,Inner Urban East - Aged AMHS,4,Oct - Dec 2020,1870.45,Oct,Dec,2020
80,Inner Urban East - Aged AMHS,1,Jan - Mar 2021,1378.68,Jan,Mar,2021
81,Inner Urban East - Aged AMHS,2,Apr - Jun 2021,1267.13,Apr,Jun,2021
82,Inner West - Adult AMHS,2,Apr - Jun 2020,16127.65,Apr,Jun,2020
83,Inner West - Adult AMHS,3,Jul - Sep 2020,16970.28,Jul,Sep,2020
84,Inner West - Adult AMHS,4,Oct - Dec 2020,13985.51,Oct,Dec,2020
85,Inner West - Adult AMHS,1,Jan - Mar 2021,10752.72,Jan,Mar,2021
86,Inner West - Adult AMHS,2,Apr - Jun 2021,11180.72,Apr,Jun,2021
87,Loddon - AMHS,2,Apr - Jun 2020,19088.78,Apr,Jun,2020
88,Loddon - AMHS,3,Jul - Sep 2020,21021.56,Jul,Sep,2020
89,Loddon - AMHS,4,Oct - Dec 2020,15521.84,Oct,Dec,2020
90,Loddon - AMHS,1,Jan - Mar 2021,7851.52,Jan,Mar,2021
91,Loddon - AMHS,2,Apr - Jun 2021,5587.16,Apr,Jun,2021
92,Mid & South West - Aged AMHS,2,Apr - Jun 2020,1872.73,Apr,Jun,2020
93,Mid & South West - Aged AMHS,3,Jul - Sep 2020,2099.88,Jul,Sep,2020
94,Mid & South West - Aged AMHS,4,Oct - Dec 2020,1973.72,Oct,Dec,2020
